Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Romerswaalestraat 4 a,Zuiddorpe,€ 250.000,202 m²,117 m²,1977,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,
Armweide 13,Ruinen (Gem. De Wolden),€ 850.000,4.639 m²,255 m²,,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met riet,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A++,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen en vrij uitzicht",Tuin rondom,675
Strandwal 60,Vlissingen,€ 359.500,197 m²,136 m²,2004,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.170
Meindert Hobbemastraat 63,Almere,€ 425.000,204 m²,121 m²,2000,Bestaande bouw,"Herenhuis, eindwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.260
Zuiderwouder Dorpsstraat 28,Zuiderwoude,€ 1.500.000,610 m²,223 m²,1974,Bestaande bouw,"Woonboerderij, vrijstaande woning",Schilddak bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,D,"Aan vaarwater, aan water, landelijk gelegen, open ligging en vrij uitzicht",Achtertuin en tuin rondom,310
Moleneinde 24,Diever,€ 550.000,972 m²,139 m²,1900,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,4 woonlagen,G,Aan rustige weg en in bosrijke omgeving,Tuin rondom en zonneterras,2.225
Drossard de la Courtstraat 44,Gemert,€ 500.000,400 m²,180 m²,1976,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",6.130
Groenendael 114,IJsselmuiden,€ 349.000,251 m²,153 m²,1980,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen,C,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,3.920
Eerste Hieronymus van Alphenstraat 96,Gouda,€ 350.000,93 m²,97 m²,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In woonwijk,Achtertuin,2.570
Rietgors 19,Leusden,€ 459.000,173 m²,127 m²,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.130
De Vissert 5,Well (LI),€ 1.000.000,25.445 m²,260 m²,1968,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,D,"Aan bosrand, aan rustige weg, beschutte ligging, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,540
Benedenberg 17,Bergambacht,€ 975.000,4.770 m²,156 m²,1969,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,D,Landelijk gelegen en open ligging,Tuin rondom,420
Leliestraat 40,Deventer,€ 567.500,613 m²,126 m²,1903,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,Aan rustige weg en in woonwijk,Tuin rondom en zonneterras,2.305
Heiblomsedijk 15,Berlicum,€ 800.000,1.177 m²,231 m²,1995,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Vrij uitzicht,Tuin rondom,230
Mr. van Zuylen van Nyeveltstraat 2,Waalwijk,€ 350.000,145 m²,134 m²,1966,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin,3.600
Ladderbeekstraat 106,Velsen-Noord,€ 325.000,129 m²,103 m²,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,1.190
Keizerstraat 9,Wormer,€ 289.000,126 m²,66 m²,1960,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.505
Siciliëstraat 24,Almere,€ 335.000,177 m²,88 m²,2002,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.005
Heeskesacker 1124,Nijmegen,€ 309.500,210 m²,104 m²,1982,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,5.465
Baron van Nagellstraat 35,Voorthuizen,€ 500.000,390 m²,113 m²,2000,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,A,,"Achtertuin, voortuin en zijtuin",795
Verheullaan 60,Bergschenhoek,€ 435.000,116 m²,108 m²,1999,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin en voortuin,4.155
Bennebroekerweg 79,Rijsenhout,€ 695.000,738 m²,219 m²,1940,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,E,In centrum en in woonwijk,Tuin rondom,1.325
Rozendael 157,Borger,€ 300.000,320 m²,140 m²,1971,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,€ 2.350
Gitaar 18,Ewijk,€ 425.000,283 m²,170 m²,1986,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,850
Ligtenbergerdijk 18,Rijssen,€ 625.000,425 m²,170 m²,2004,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en landelijk gelegen",Achtertuin en voortuin,6.970
Dr. Schaepmanstraat 153,Assen,€ 375.000,117 m²,144 m²,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,1.810
Blaarthemseweg 18,Eindhoven,€ 500.000,272 m²,148 m²,1931,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",F,In woonwijk,Achtertuin en voortuin,2.450
Kamperfoeliestraat 9,Sint-Michielsgestel,€ 369.000,182 m²,113 m²,1967,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.075
Gomarusstraat 33,Wagenberg,€ 349.000,186 m²,89 m²,1970,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin,€ 3.125
Krekelzanger 89,Boxmeer,€ 625.000,512 m²,170 m²,1994,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Tuin rondom,2.650
Dijlehof 18,Amsterdam,€ 425.000,90 m²,84 m²,1996,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,"Patio/atrium, voortuin en zonneterras",14.040
Slagenland 7,'s Gravenmoer,€ 499.000,230 m²,146 m²,2011,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.260
Sint Jozefhof 11,Made,€ 395.000,100 m²,127 m²,2011,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.491
Singel 10,Nieuwerkerk aan den IJssel,€ 395.000,182 m²,128 m²,1962,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,G,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.630
Seisstraat 16,Middelburg,€ 749.000,164 m²,166 m²,1650,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,Niet verplicht,In centrum,Achtertuin,1.040
Sambeekerf 10,Tilburg,€ 465.000,298 m²,111 m²,2006,Bestaande bouw,"Bungalow, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.235
Limbahout 6,Zoetermeer,€ 995.000,484 m²,205 m²,2002,Bestaande bouw,"Villa, 2-onder-1-kapwoning",Schilddak bedekt met leisteen,8 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,"3 woonlagen, een vliering en een kelder",A,"Aan park, aan rustige weg, aan water, beschutte ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",7.950
Kruidenlaan 117,Nijverdal,€ 370.000,249 m²,97 m²,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk en open ligging,Achtertuin en voortuin,2.515
Vogelakker 30,Almere,€ 725.000,932 m²,113 m²,2019,Bestaande bouw,"Villa, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan rustige weg, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,1.665
Luitstraat 22,Almere,€ 399.000,129 m²,103 m²,1991,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,10.990
Duikerlaan 8,Wageningen,€ 389.000,116 m²,112 m²,2002,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.235
Beneluxlaan 38,Geleen,€ 250.000,199 m²,95 m²,1969,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.030
Insulindestraat 1,Doetinchem,€ 475.000,365 m²,168 m²,1975,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk en vrij uitzicht,"Achtertuin, voortuin en zijtuin",2.475
Batjanstraat 7,Enschede,€ 198.000,142 m²,92 m²,1938,Bestaande bouw,"Eengezinswoning, eindwoning",Samengesteld dak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,G,"Aan rustige weg, in centrum en in woonwijk",Achtertuin,2.810
J.J. Allanstraat 357 A,Westzaan,€ 885.000,272 m²,167 m²,2020,Bestaande bouw,"Herenhuis, vrijstaande woning",Samengesteld dak,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en zijtuin,650
T.W.S. Mansholtstraat 49,Groningen,€ 895.000,599 m²,264 m²,1989,Bestaande bouw,"Herenhuis, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,8 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",710
Rijkevoortsedijk 14,Rijkevoort,€ 475.000,2.165 m²,156 m²,1977,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met leisteen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in centrum,Tuin rondom,1.340
Ledeackerstraat 6,Tilburg,€ 325.000,143 m²,103 m²,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.010
Heulweg 3 a,Barendrecht,€ 1.375.000,432 m²,236 m²,2022,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met kunststof en pannen,8 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,A+,"Aan rustige weg, in centrum, in woonwijk, open ligging en vrij uitzicht",Tuin rondom,675
De Tol 5,Woudenberg,€ 650.000,242 m²,151 m²,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Tentdak,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,,Achtertuin en voortuin,1.475
Torenberglaan 44,Eindhoven,€ 560.000,286 m²,147 m²,1973,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.250
Rhijnauwensingel 469,Rotterdam,€ 318.800,103 m²,109 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin,12.275
Nijhofflaan 5,Blaricum,€ 1.080.000,262 m²,180 m²,2019,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met overig,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.540
Het Steen 5,Grootegast,€ 315.000,495 m²,121 m²,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,E,Aan rustige weg en in woonwijk,"Achtertuin, voortuin, zijtuin en zonneterras",3.340
Schuttevaer 37 a,Hoogeveen,€ 259.000,142 m²,118 m²,1986,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.395
Dorpsweg Ransdorp 91,Amsterdam,€ 575.000,215 m²,75 m²,1932,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan rustige weg, aan water en in centrum","Achtertuin, voortuin en zijtuin",2.385
Broersven 4,Heemskerk,€ 550.000,224 m²,109 m²,1973,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,A,Beschutte ligging en in woonwijk,Patio/atrium en voortuin,1.505
Tuinkersstraat 3,Voorhout,€ 645.000,217 m²,154 m²,1991,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.800
Zevenhuizen 34,Hattem,€ 330.000,207 m²,90 m²,1967,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,In woonwijk,Achtertuin en voortuin,2.940
IJsselmondselaan 170,Rotterdam,€ 245.000,199 m²,83 m²,1910,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,2 woonlagen,G,"Aan water, beschutte ligging en in woonwijk",Achtertuin en voortuin,1.635
van Borselelaan 15,Veere,€ 289.000,150 m²,108 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin en voortuin,865
Benthuizenstraat 15,Zoetermeer,€ 1.650.000,690 m²,305 m²,2007,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met riet,11 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Tuin rondom,16.005
Roeklaan 3,Eindhoven,€ 849.000,331 m²,177 m²,1927,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",C,"Aan rustige weg, in centrum en in woonwijk",Tuin rondom,2.255
Repelsestraat 5,Neerijnen,€ 850.000,5.872 m²,151 m²,,Bestaande bouw,"Woonboerderij, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, beschutte ligging, landelijk gelegen en vrij uitzicht",Tuin rondom,320
Dorpsstraat 40,Bergen (NH),€ 1.175.000,880 m²,145 m²,1975,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,C,In centrum,Achtertuin en zijtuin,985
Stroomrug 19,Cuijk,€ 1.050.000,578 m²,156 m²,2006,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, aan vaarwater, aan water en in woonwijk",Tuin rondom,6.825
Claude Debussystraat 59,Zaandijk,€ 659.000,187 m²,126 m²,1994,Bestaande bouw,"Eengezinswoning, geschakelde woning",Lessenaardak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een kelder,B,"Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zonneterras",3.165
Horstlaan 2 a,Almelo,€ 285.000,273 m²,117 m²,1969,Bestaande bouw,"Bungalow, 2-onder-1-kapwoning (semi-bungalow)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),2 badkamers,2 woonlagen,E,In woonwijk,Achtertuin en voortuin,1.085
Meindert Hobbemastraat 71,Almere,€ 450.000,204 m²,123 m²,2000,Bestaande bouw,"Eengezinswoning, eindwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan park, aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,6.260
Buitenbos 5,Meteren,€ 685.000,377 m²,161 m²,2020,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met leisteen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin en zijtuin",970
Arkumerhemstraat 5,Sneek,€ 275.000,158 m²,135 m²,1965,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.560
Berberislaan 143,Winterswijk,€ 225.000,205 m²,96 m²,1972,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,In bosrijke omgeving en in woonwijk,Achtertuin en voortuin,3.905
Helmpad 2,De Zilk,€ 429.000,147 m²,108 m²,1996,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",€ 3.672
Europa-ring 203,Wierden,€ 389.000,335 m²,148 m²,1980,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",890
Raaigras 3,De Goorn,€ 560.000,286 m²,159 m²,2008,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan water en in woonwijk,"Achtertuin, voortuin en zijtuin",950
Johan van der Poortenlaan 65,Spijkenisse,€ 500.000,221 m²,136 m²,2012,Bestaande bouw,"Herenhuis, hoekwoning","Zadeldak bedekt met bitumineuze dakbedekking, overig en pannen",7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",1.210
Westersingel 11 a,Burgum,€ 539.000,900 m²,228 m²,1946,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.320
In de Mehre 32,Susteren,€ 499.000,258 m²,162 m²,2005,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,590
Noordveen 2,Beilen,€ 499.000,527 m²,153 m²,1991,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, aan water, in bosrijke omgeving, in woonwijk en vrij uitzicht","Achtertuin, voortuin, zijtuin en zonneterras",9.415
Nettelhorst 65,Ede,€ 290.000,112 m²,123 m²,1970,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,2.410
Veerstraat 1 a,Druten,€ 695.000,506 m²,208 m²,1900,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,12 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,C,Beschutte ligging en in centrum,Achtertuin,6.855
Valkenburgerweg 80,Rijnsburg,€ 934.000,505 m²,196 m²,2000,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,9 kamers (6 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A+,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.775
Ruitjensakker 15,Lieshout,€ 400.000,355 m²,146 m²,1980,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,3.555
Bakemastraat 69,Utrecht,€ 550.000,123 m²,116 m²,2007,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.330
Watermolenstraat 8,Westzaan,€ 400.000,171 m²,108 m²,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.415
Kruislaan 1 B,Oostvoorne,€ 1.450.000,2.290 m²,192 m²,1980,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,C,In bosrijke omgeving en vrij uitzicht,Tuin rondom,4.810
Kotterstraat 20,Alkmaar,€ 340.000,209 m²,75 m²,1979,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met overig,3 kamers (2 slaapkamers),1 badkamer,2 woonlagen,C,"Aan rustige weg, aan water, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",3.355
